start	end	text
0	2740	voilà
2740	3680	allez
3680	4260	bon
4260	4840	allez bam
4840	5380	comment
5380	6460	on s'y remet
6460	7000	on s'y remet
7000	7800	on remet le bleu de show
7800	8540	le bleu de travail
8540	9720	et puis on s'y remet quoi
9720	10500	allez haute sur
10500	11500	bah faut ce qu'il faut
11500	11860	faut bien
11860	12340	faut bien
12340	13520	bah faut bien
13520	14000	faut bien
14000	15160	c'est pas le
15160	17440	c'est pas le plaisir
17440	18380	enfin voilà
18380	19600	on a pas le choix
19600	20840	on a pas le choix
20840	22260	c'est un travail
22260	22860	c'est un travail
22860	23520	comme un autre
23520	24500	et puis on le fait
24500	24960	parce que
24960	25960	vous savez la France
25960	26620	monsieur Courtier
26620	27100	bosse
27100	28080	la France elle bosse
28080	28720	elle bosse maintenant
28720	29600	presque deux ans plus
29600	31100	il y a une France
31100	31580	qui travaille
31580	32680	il y a une France
32680	33180	qui travaille
33180	33680	l'autre
33680	34260	l'autre
34260	34880	l'autre
34880	35680	je ne crois
35680	37060	je ne crois qu'elle ne travaille pas
37060	38480	je crois qu'elle n'est même pas
38480	39620	au courant de la valeur travail
39620	40540	est-ce que
40540	42400	est-ce que tu as choisi ton
42400	43620	toi tu as choisi ton candidat
43620	43860	pour
43860	45320	pour 2027
45320	46240	ce sera
46240	46780	grand strombe
46780	47300	ou personne
47300	48680	ce sera
48680	51740	ce sera
51740	53140	ce sera
53140	53160	ce sera
53160	53680	Edouard Philippe
53680	54240	non ?
54240	55480	ce sera
55480	56560	Edouard Philippe
56560	57440	il est chaud bouillant
57440	58340	ton poulain
58340	59720	il est chaud
59720	61920	tu as vu l'équipe de com
61920	62600	tente des trucs
62600	63320	des lunettes
63320	66680	des faux sourcils
66680	68160	à chaque nouvelle photo
68160	68780	il y a un truc
68780	70180	et je vois le casse-tête
70180	71100	de l'équipe de com
71100	71600	ils sont là
71600	73600	mais qu'est-ce qu'on va bien pouvoir
73600	74180	ils ont tout fait
74180	75820	ils vont faire une perruque afro
75820	77000	ils vont tout tenter
77000	78340	on devrait demander
78340	79460	à Chad GPT
79460	80500	que
80500	83640	peux-tu transformer
83640	84740	ce candidat
84740	85300	physiquement
85300	86620	pour qu'il soit plus
86620	88460	attractif
88460	89660	à même de gagner
89660	90600	l'élection présidentielle
90600	91360	il devrait pouvoir faire ça
91360	91800	à mon avis
91800	92980	il remonte juste
92980	93960	de 5 ans
93960	95140	et voilà
95140	95620	ça suffit
95620	96640	ce serait incroyable
96640	97780	que la faute
97780	99680	tous les ordinateurs travaillent
99680	100180	et c'est
100180	101140	Edouard Philippe
101140	102420	il y a 2 ans
102420	103760	c'est genre
103760	104560	le physique parfait
104560	105000	de te rendre compte
105000	105880	que c'était exactement
105880	106380	ce qu'il fallait
106380	106800	et c'est vrai
106800	107920	un peu beau gosse
107920	108980	mais un peu austère
108980	109960	il avait le bon âge
109960	110240	un peu trisodant
110240	110900	mais sérieux
110900	112960	il avait vraiment tout calé
112960	114240	mais il y a une malédiction
114240	115060	sur le candidat
115060	116040	qui a tout gagné en France
116040	116860	Edouard Balladur
116860	118640	on le voit mal gagné maintenant
118640	119240	mais en vrai
119240	120640	il était premier ministre
120640	123360	il avait le parcours parfait
123360	124500	Strauss-Kahn
124500	126520	il y a eu une petite faute
126520	127420	il y a eu une petite faute
127420	127960	il y a eu écart
127960	129020	il y a eu écart de conduite
129020	129860	quand même
129860	130680	il y a eu écart de conduite
130680	131300	après moi
131300	132440	il était donné vainqueur
132440	134220	mais la question c'est
134220	135540	est-ce que l'écart de conduite
135540	136980	dont tout le monde savait
136980	138180	qu'il le faisait régulièrement
138180	138900	du coup
138900	142200	on a instrumentalisé le truc
142200	143560	je ne sais pas s'il violait
143560	145260	des femmes de chambre régulièrement
145260	147400	c'était peut-être pas le
147400	149400	c'était un énorme
149400	151160	énorme cutard
151160	152280	mais je ne sais pas si
152280	153280	il y a eu d'autres plaintes
153280	153580	d'ailleurs
153580	155100	contre lui ou pas
155100	155600	je ne me souviens plus
155600	156460	moi je ne vais pas dire
156460	157140	ce que je sais
157140	158180	exactement
158180	159300	oui toi tu sais beaucoup de choses
159300	161200	mais je tiens à dire que
161200	163180	dans mes années de droit
163180	164920	quand je fréquentais la haute
164920	166100	j'ai fait des dîners
166100	168380	avec des gens très importants
168380	170240	dont un avocat très important
170240	171300	qui m'avait dit
171300	173160	bien avant l'affaire Strauss-Kahn
173160	174080	et l'affaire PPDA
174080	176260	qui avait deux tarés dans ce milieu
176260	178720	et que c'était Strauss-Kahn et PPDA
178720	179380	voilà
179380	180900	et les deux sont tombés
180900	182540	et à chaque fois que les deux sont tombés
182540	183100	tout le monde a dit
183100	184120	oui bah tout le monde le savait
184120	185100	donc
185100	186180	je ne vais pas faire
186180	188160	il n'y avait pas un troisième nom
188160	189200	dans ta liste
189200	190240	à tout hasard
190240	193120	il parlait d'un podcaster de la Sarthe
193120	195340	actif sur Twitter
